Circuit_Type,No_Of_Transistors,Activity_Factor,Capacitance,Leakage_current,Short_ckt_Current,Short_ckt_Power,Static_Power,Dynamic_Power
AND,6,0.709,3.4947362e-07,7.154e-09,7.04e-10,7.04e-10,7.154e-09,1.238884e-07
Inverter,2,0.539,8.025499e-08,7.8e-10,3.312e-09,3.312e-09,7.8e-10,2.162872e-08
NAND,4,0.682,3.3845973e-07,1.6419e-08,2.1157e-08,2.1157e-08,1.6419e-08,1.1541477e-07
OR,6,0.875,4.661348e-07,1.5112e-08,1.8328e-08,1.8328e-08,1.5112e-08,2.0393398e-07
XOR,10,0.438,9.5592609e-07,7.83e-10,1.0462e-08,1.0462e-08,7.83e-10,2.0934781e-07
AND,6,0.419,3.2027648e-07,3.155e-09,2.2232e-08,2.2232e-08,3.155e-09,6.709792e-08
NOR,4,0.767,9.03429e-07,1.4659e-08,8.851e-09,8.851e-09,1.4659e-08,3.4646502e-07
Mux,16,0.587,2.3656969e-07,2.2804e-08,1.5883e-08,1.5883e-08,2.2804e-08,6.94332e-08
XNOR,10,0.08,1.9905921e-07,2.2672e-08,1.5895e-08,1.5895e-08,2.2672e-08,7.96237e-09
Inverter,2,0.893,5.238055e-07,3.872e-09,4.69e-09,4.69e-09,3.872e-09,2.3387916e-07
Inverter,2,0.04,6.7578626e-07,9.676e-09,7.193e-09,7.193e-09,9.676e-09,1.351573e-08
AND,6,0.751,5.388893e-08,1.176e-09,2.2909e-08,2.2909e-08,1.176e-09,2.023529e-08
NOR,4,0.761,2.2885521e-07,1.1785e-08,4.667e-09,4.667e-09,1.1785e-08,8.707941e-08
D Flip-Flop,18,0.954,4.6112683e-07,1.8852e-08,4.422e-09,4.422e-09,1.8852e-08,2.199575e-07
Inverter,2,0.064,3.3769429e-07,1.977e-08,1.2042e-08,1.2042e-08,1.977e-08,1.080622e-08
D Flip-Flop,18,0.601,7.1549487e-07,1.2525e-08,2.396e-09,2.396e-09,1.2525e-08,2.1500621e-07
Mux,16,0.434,5.1604899e-07,2.487e-09,2.2376e-08,2.2376e-08,2.487e-09,1.1198263e-07
AND,6,0.337,1.6875551e-07,9.596e-09,2.594e-09,2.594e-09,9.596e-09,2.84353e-08
NOR,4,0.099,8.9552073e-07,2.3309e-08,1.5452e-08,1.5452e-08,2.3309e-08,4.432828e-08
NOR,4,0.567,2.9997662e-07,5.817e-09,8.561e-09,8.561e-09,5.817e-09,8.504337e-08
XNOR,10,0.484,7.338198e-07,8.062e-09,2.0126e-08,2.0126e-08,8.062e-09,1.7758439e-07
XOR,10,0.114,7.8211662e-07,1.8696e-08,1.4786e-08,1.4786e-08,1.8696e-08,4.458065e-08
XOR,10,0.616,9.6352612e-07,1.8366e-08,9.769e-09,9.769e-09,1.8366e-08,2.9676604e-07
OR,6,0.741,5.0352239e-07,2.2814e-08,2.4598e-08,2.4598e-08,2.2814e-08,1.8655505e-07
NAND,4,0.77,6.1967716e-07,9.764e-09,1.749e-09,1.749e-09,9.764e-09,2.3857571e-07
AND,6,0.906,3.4152753e-07,1.2914e-08,1.4487e-08,1.4487e-08,1.2914e-08,1.5471197e-07
Mux,16,0.415,6.813975e-07,1.1738e-08,2.474e-08,2.474e-08,1.1738e-08,1.4138998e-07
NOR,4,0.954,4.6874965e-07,2.3201e-08,1.7305e-08,1.7305e-08,2.3201e-08,2.2359358e-07
XNOR,10,0.867,4.4327584e-07,1.9256e-08,1.852e-08,1.852e-08,1.9256e-08,1.9216008e-07
D Flip-Flop,18,0.304,8.5691285e-07,2.0803e-08,8.99e-10,8.99e-10,2.0803e-08,1.3025075e-07
AND,6,0.168,5.966716e-08,3.414e-09,6.32e-10,6.32e-10,3.414e-09,5.01204e-09
OR,6,0.441,8.831428e-07,1.9817e-08,9.99e-10,9.99e-10,1.9817e-08,1.9473299e-07
AND,6,0.408,8.5354914e-07,1.0881e-08,2.4794e-08,2.4794e-08,1.0881e-08,1.7412402e-07
OR,6,0.58,5.1130259e-07,6.81e-10,2.449e-08,2.449e-08,6.81e-10,1.4827775e-07
NOR,4,0.588,4.9530083e-07,1.596e-09,8.429e-09,8.429e-09,1.596e-09,1.4561844e-07
NAND,4,0.752,3.6818929e-07,1.698e-08,7.345e-09,7.345e-09,1.698e-08,1.3843917e-07
OR,6,0.515,9.9423205e-07,9.363e-09,3.734e-09,3.734e-09,9.363e-09,2.5601475e-07
NOR,4,0.114,1.2005764e-07,2.1716e-08,8.296e-09,8.296e-09,2.1716e-08,6.84329e-09
NOR,4,0.86,5.9431308e-07,1.8383e-08,9.317e-09,9.317e-09,1.8383e-08,2.5555462e-07
NAND,4,0.317,6.8486477e-07,6.4e-10,1.8732e-08,1.8732e-08,6.4e-10,1.0855107e-07
XOR,10,0.972,9.3498671e-07,1.7204e-08,2.1671e-08,2.1671e-08,1.7204e-08,4.5440354e-07
AND,6,0.127,7.8240146e-07,4.89e-09,1.8694e-08,1.8694e-08,4.89e-09,4.968249e-08
Inverter,2,0.959,6.4740873e-07,1.0622e-08,1.6197e-08,1.6197e-08,1.0622e-08,3.1043249e-07
Inverter,2,0.1,1.2564419e-07,1.5656e-08,1.9171e-08,1.9171e-08,1.5656e-08,6.28221e-09
D Flip-Flop,18,0.239,3.7999618e-07,2.1831e-08,1.8489e-08,1.8489e-08,2.1831e-08,4.540954e-08
D Flip-Flop,18,0.056,1.4745323e-07,1.1457e-08,1.1946e-08,1.1946e-08,1.1457e-08,4.12869e-09
Inverter,2,0.708,8.8240061e-07,2.0231e-08,8.463e-09,8.463e-09,2.0231e-08,3.1236982e-07
Mux,16,0.852,7.5212494e-07,1.9596e-08,7.141e-09,7.141e-09,1.9596e-08,3.2040522e-07
Inverter,2,0.44,7.5996142e-07,1.0422e-08,1.7016e-08,1.7016e-08,1.0422e-08,1.6719151e-07
D Flip-Flop,18,0.929,6.5573395e-07,1.2574e-08,2.3987e-08,2.3987e-08,1.2574e-08,3.0458842e-07
XNOR,10,0.594,5.119731e-07,1.7542e-08,1.4568e-08,1.4568e-08,1.7542e-08,1.5205601e-07
D Flip-Flop,18,0.634,1.5847135e-07,8.76e-10,2.2822e-08,2.2822e-08,8.76e-10,5.023542e-08
Mux,16,0.847,3.3639794e-07,2.2281e-08,4.54e-10,4.54e-10,2.2281e-08,1.4246453e-07
AND,6,0.304,1.4554663e-07,1.9268e-08,1.9882e-08,1.9882e-08,1.9268e-08,2.212309e-08
Inverter,2,0.361,7.2766401e-07,6.31e-09,2.1355e-08,2.1355e-08,6.31e-09,1.3134335e-07
NAND,4,0.907,1.6862649e-07,2.4531e-08,1.5812e-08,1.5812e-08,2.4531e-08,7.647211e-08
XNOR,10,0.902,7.0509241e-07,4.567e-09,2.3358e-08,2.3358e-08,4.567e-09,3.1799668e-07
NOR,4,0.977,6.9533284e-07,2.2861e-08,1.4789e-08,1.4789e-08,2.2861e-08,3.3967009e-07
Mux,16,0.903,4.6471143e-07,8.179e-09,6.089e-09,6.089e-09,8.179e-09,2.0981721e-07
D Flip-Flop,18,0.136,1.4387637e-07,1.9102e-08,5.471e-09,5.471e-09,1.9102e-08,9.78359e-09
NAND,4,0.825,3.2165282e-07,1.1464e-08,1.394e-08,1.394e-08,1.1464e-08,1.3268179e-07
OR,6,0.416,3.2689218e-07,1.8438e-08,2.2671e-08,2.2671e-08,1.8438e-08,6.799357e-08
XOR,10,0.991,7.0338128e-07,3.979e-09,1.902e-09,1.902e-09,3.979e-09,3.4852542e-07
Inverter,2,0.478,1.2260559e-07,6.811e-09,1.5149e-08,1.5149e-08,6.811e-09,2.930274e-08
XOR,10,0.558,8.3077796e-07,2.586e-09,1.9268e-08,1.9268e-08,2.586e-09,2.3178705e-07
Mux,16,0.534,7.6339722e-07,2.1642e-08,2.974e-09,2.974e-09,2.1642e-08,2.0382706e-07
OR,6,0.329,1.9444385e-07,7.478e-09,3.008e-09,3.008e-09,7.478e-09,3.198601e-08
OR,6,0.084,7.2197274e-07,1.7392e-08,9.217e-09,9.217e-09,1.7392e-08,3.032286e-08
OR,6,0.897,6.7182805e-07,2.0524e-08,6.92e-09,6.92e-09,2.0524e-08,3.0131488e-07
NOR,4,0.805,7.5063959e-07,2.2545e-08,5.038e-09,5.038e-09,2.2545e-08,3.0213243e-07
Mux,16,0.148,1.9703927e-07,2.747e-09,5.047e-09,5.047e-09,2.747e-09,1.458091e-08
AND,6,0.779,1.6601442e-07,2.2336e-08,3.354e-09,3.354e-09,2.2336e-08,6.466262e-08
XOR,10,0.63,2.4411915e-07,5.012e-09,1.531e-08,1.531e-08,5.012e-09,7.689753e-08
AND,6,0.415,3.7221299e-07,1.8449e-08,1.7234e-08,1.7234e-08,1.8449e-08,7.72342e-08
NAND,4,0.261,7.9572833e-07,1.8248e-08,1.7603e-08,1.7603e-08,1.8248e-08,1.0384255e-07
XNOR,10,0.861,7.405447e-07,3.12e-10,1.3356e-08,1.3356e-08,3.12e-10,3.1880449e-07
XNOR,10,0.703,9.2619708e-07,5.594e-09,2.3827e-08,2.3827e-08,5.594e-09,3.2555827e-07
AND,6,0.552,6.804326e-08,1.2349e-08,2.2025e-08,2.2025e-08,1.2349e-08,1.877994e-08
Inverter,2,0.613,2.144072e-08,1.0559e-08,2.3945e-08,2.3945e-08,1.0559e-08,6.57158e-09
NAND,4,0.1,7.0214744e-07,2.2972e-08,9.781e-09,9.781e-09,2.2972e-08,3.510737e-08
Mux,16,0.479,2.8649462e-07,9.058e-09,2.1957e-08,2.1957e-08,9.058e-09,6.861546e-08
D Flip-Flop,18,0.202,3.4073811e-07,2.3431e-08,1.9096e-08,1.9096e-08,2.3431e-08,3.441455e-08
XNOR,10,0.216,5.5133401e-07,1.154e-08,8.565e-09,8.565e-09,1.154e-08,5.954407e-08
D Flip-Flop,18,0.665,1.1138899e-07,2.4112e-08,2.754e-09,2.754e-09,2.4112e-08,3.703684e-08
NAND,4,0.912,6.4626747e-07,1.846e-08,1.7097e-08,1.7097e-08,1.846e-08,2.9469797e-07
XOR,10,0.41,3.3189597e-07,2.075e-08,3.498e-09,3.498e-09,2.075e-08,6.803867e-08
XNOR,10,0.216,6.3638797e-07,2.711e-09,7.415e-09,7.415e-09,2.711e-09,6.87299e-08
Inverter,2,0.652,8.3566684e-07,1.4695e-08,1.2559e-08,1.2559e-08,1.4695e-08,2.7242739e-07
Inverter,2,0.872,1.7940022e-07,3.653e-09,1.7029e-08,1.7029e-08,3.653e-09,7.82185e-08
OR,6,0.751,9.3156436e-07,7.511e-09,2.3163e-08,2.3163e-08,7.511e-09,3.4980242e-07
NOR,4,0.87,5.3538126e-07,1.5627e-08,1.4872e-08,1.4872e-08,1.5627e-08,2.3289085e-07
NAND,4,0.541,9.2369849e-07,1.8183e-08,1.6818e-08,1.6818e-08,1.8183e-08,2.4986044e-07
XNOR,10,0.754,2.1565278e-07,1.076e-09,7.819e-09,7.819e-09,1.076e-09,8.13011e-08
NOR,4,0.149,6.0851704e-07,1.332e-08,1.7214e-08,1.7214e-08,1.332e-08,4.533452e-08
NAND,4,0.355,4.0984825e-07,1.4176e-08,1.1001e-08,1.1001e-08,1.4176e-08,7.274806e-08
AND,6,0.396,7.7647997e-07,2.063e-09,2.1438e-08,2.1438e-08,2.063e-09,1.5374303e-07
Mux,16,0.516,6.0984985e-07,1.2567e-08,9.872e-09,9.872e-09,1.2567e-08,1.5734126e-07
Mux,16,0.93,4.995703e-07,1.7875e-08,1.176e-08,1.176e-08,1.7875e-08,2.3230019e-07
OR,6,0.876,9.1385555e-07,1.425e-09,1.0871e-08,1.0871e-08,1.425e-09,4.0026873e-07
OR,6,0.143,3.8334589e-07,1.9031e-08,2.0297e-08,2.0297e-08,1.9031e-08,2.740923e-08
Mux,16,0.181,2.277804e-07,1.4453e-08,2.3847e-08,2.3847e-08,1.4453e-08,2.061413e-08
XOR,10,0.364,6.1202017e-07,2.0847e-08,8.249e-09,8.249e-09,2.0847e-08,1.1138767e-07
XNOR,10,0.298,6.2778815e-07,5.53e-09,1.1928e-08,1.1928e-08,5.53e-09,9.354043e-08
Mux,16,0.619,4.4470368e-07,2.0849e-08,1.7678e-08,1.7678e-08,2.0849e-08,1.3763579e-07
XOR,10,0.904,4.9174394e-07,2.455e-09,2.2395e-08,2.2395e-08,2.455e-09,2.2226826e-07
NOR,4,0.963,9.5995788e-07,1.0155e-08,1.2393e-08,1.2393e-08,1.0155e-08,4.6221972e-07
XOR,10,0.657,7.3535883e-07,5.067e-09,2.811e-09,2.811e-09,5.067e-09,2.4156538e-07
NOR,4,0.84,1.1949573e-07,2.1913e-08,9.28e-09,9.28e-09,2.1913e-08,5.018821e-08
NAND,4,0.53,2.2000877e-07,1.7653e-08,1.3804e-08,1.3804e-08,1.7653e-08,5.830232e-08
D Flip-Flop,18,0.216,9.7582087e-07,7.32e-10,1.0496e-08,1.0496e-08,7.32e-10,1.0538865e-07
NAND,4,0.529,7.292009e-07,3.37e-10,4.745e-09,4.745e-09,3.37e-10,1.9287364e-07
Mux,16,0.56,9.1589467e-07,7.352e-09,1.021e-09,1.021e-09,7.352e-09,2.5645051e-07
NOR,4,0.745,3.1082285e-07,3.668e-09,1.7216e-08,1.7216e-08,3.668e-09,1.1578151e-07
Mux,16,0.228,7.4444819e-07,1.5795e-08,2.4819e-08,2.4819e-08,1.5795e-08,8.486709e-08
XNOR,10,0.375,7.1686268e-07,1.6629e-08,2.2988e-08,2.2988e-08,1.6629e-08,1.3441175e-07
Inverter,2,0.37,3.0174309e-07,2.3555e-08,1.7113e-08,1.7113e-08,2.3555e-08,5.582247e-08
Mux,16,0.96,5.5530816e-07,2.3806e-08,2.1054e-08,2.1054e-08,2.3806e-08,2.6654792e-07
XNOR,10,0.45,6.3114096e-07,1.6507e-08,6.468e-09,6.468e-09,1.6507e-08,1.4200672e-07
XOR,10,0.758,4.8632049e-07,2.41e-10,1.5599e-08,1.5599e-08,2.41e-10,1.8431547e-07
NAND,4,0.753,8.2890692e-07,9.039e-09,1.609e-09,1.609e-09,9.039e-09,3.1208346e-07
XOR,10,0.273,8.3454035e-07,1.2877e-08,1.7709e-08,1.7709e-08,1.2877e-08,1.1391476e-07
Inverter,2,0.576,8.5209454e-07,1.253e-08,2.425e-08,2.425e-08,1.253e-08,2.4540323e-07
NOR,4,0.895,8.0538933e-07,1.5123e-08,2.1534e-08,2.1534e-08,1.5123e-08,3.6041173e-07
XNOR,10,0.48,4.9320264e-07,2.4018e-08,1.3408e-08,1.3408e-08,2.4018e-08,1.1836863e-07
D Flip-Flop,18,0.946,3.8762392e-07,2.2141e-08,1.974e-08,1.974e-08,2.2141e-08,1.8334611e-07
Mux,16,0.222,8.3306252e-07,2.812e-09,2.3603e-08,2.3603e-08,2.812e-09,9.246994e-08
NOR,4,0.083,4.9529944e-07,6.723e-09,5.479e-09,5.479e-09,6.723e-09,2.055493e-08
D Flip-Flop,18,0.893,2.5390768e-07,2.0844e-08,1.9852e-08,1.9852e-08,2.0844e-08,1.1336978e-07
AND,6,0.849,5.122701e-07,2.0625e-08,6.819e-09,6.819e-09,2.0625e-08,2.1745866e-07
Mux,16,0.993,1.5043132e-07,6.957e-09,2.1936e-08,2.1936e-08,6.957e-09,7.468915e-08
XOR,10,0.683,6.947132e-07,1.8292e-08,2.549e-09,2.549e-09,1.8292e-08,2.3724456e-07
NAND,4,0.937,3.4256207e-07,1.6834e-08,4.538e-09,4.538e-09,1.6834e-08,1.6049033e-07
XNOR,10,0.829,2.6805221e-07,1.1891e-08,1.8043e-08,1.8043e-08,1.1891e-08,1.1110764e-07
Inverter,2,0.846,9.5694366e-07,5.116e-09,4.452e-09,4.452e-09,5.116e-09,4.0478717e-07
Inverter,2,0.573,7.7911219e-07,2.2227e-08,4.036e-09,4.036e-09,2.2227e-08,2.2321564e-07
XOR,10,0.389,7.8919881e-07,1.6978e-08,1.3931e-08,1.3931e-08,1.6978e-08,1.5349917e-07
OR,6,0.935,6.2748475e-07,4.308e-09,2.0891e-08,2.0891e-08,4.308e-09,2.9334912e-07
Inverter,2,0.438,8.4078108e-07,1.765e-08,6.785e-09,6.785e-09,1.765e-08,1.8413106e-07
XNOR,10,0.543,7.6157086e-07,1.8562e-08,2.1044e-08,2.1044e-08,1.8562e-08,2.0676649e-07
XOR,10,0.452,6.0278597e-07,2.2183e-08,2.0218e-08,2.0218e-08,2.2183e-08,1.3622963e-07
NOR,4,0.569,9.6151316e-07,5.649e-09,1.452e-08,1.452e-08,5.649e-09,2.7355049e-07
Inverter,2,0.476,1.99679e-07,2.472e-08,1.6199e-08,1.6199e-08,2.472e-08,4.75236e-08
XOR,10,0.057,9.4394592e-07,3.919e-09,1.107e-09,1.107e-09,3.919e-09,2.690246e-08
XNOR,10,0.883,4.0742378e-07,1.5057e-08,9.242e-09,9.242e-09,1.5057e-08,1.798776e-07
Mux,16,0.45,5.3311499e-07,1.6464e-08,6.659e-09,6.659e-09,1.6464e-08,1.1995087e-07
Mux,16,0.593,1.3151193e-07,1.0532e-08,3.835e-09,3.835e-09,1.0532e-08,3.899329e-08
Inverter,2,0.148,5.4470636e-07,1.1928e-08,9.803e-09,9.803e-09,1.1928e-08,4.030827e-08
NAND,4,0.013,6.1509468e-07,2.2284e-08,8.937e-09,8.937e-09,2.2284e-08,3.99812e-09
Mux,16,0.253,9.9772453e-07,1.6167e-08,1.8249e-08,1.8249e-08,1.6167e-08,1.2621215e-07
NAND,4,0.708,9.7544049e-07,1.2475e-08,1.4993e-08,1.4993e-08,1.2475e-08,3.4530593e-07
NOR,4,0.108,9.6673332e-07,3.296e-09,2.2836e-08,2.2836e-08,3.296e-09,5.22036e-08
XOR,10,0.91,3.5490418e-07,2.83e-10,3.721e-09,3.721e-09,2.83e-10,1.614814e-07
D Flip-Flop,18,0.223,9.9135383e-07,3.212e-09,1.588e-09,1.588e-09,3.212e-09,1.1053595e-07
XNOR,10,0.213,4.6092337e-07,2.3909e-08,1.3412e-08,1.3412e-08,2.3909e-08,4.908834e-08
XOR,10,0.19,8.533179e-07,1.9126e-08,1.26e-10,1.26e-10,1.9126e-08,8.10652e-08
XNOR,10,0.024,2.2415677e-07,2.4181e-08,1.9714e-08,1.9714e-08,2.4181e-08,2.68988e-09
NOR,4,0.774,5.1077485e-07,9.89e-10,1.2699e-08,1.2699e-08,9.89e-10,1.9766987e-07
AND,6,0.876,9.6635198e-07,1.7037e-08,1.2253e-08,1.2253e-08,1.7037e-08,4.2326217e-07
Inverter,2,0.618,9.4756108e-07,1.203e-09,9.126e-09,9.126e-09,1.203e-09,2.9279637e-07
XNOR,10,0.196,6.8689753e-07,1.9573e-08,9.437e-09,9.437e-09,1.9573e-08,6.731596e-08
XNOR,10,0.292,7.9983618e-07,9.586e-09,1.0835e-08,1.0835e-08,9.586e-09,1.1677608e-07
NAND,4,0.481,1.8466243e-07,2.485e-09,4.99e-10,4.99e-10,2.485e-09,4.441131e-08
XOR,10,0.955,7.2444196e-07,1.4244e-08,2.18e-09,2.18e-09,1.4244e-08,3.4592104e-07
AND,6,0.255,6.218703e-07,7.075e-09,1.2676e-08,1.2676e-08,7.075e-09,7.928846e-08
OR,6,0.734,1.0063622e-07,1.6523e-08,3.838e-09,3.838e-09,1.6523e-08,3.693349e-08
Inverter,2,0.445,1.2202742e-07,1.6489e-08,1.9491e-08,1.9491e-08,1.6489e-08,2.71511e-08
D Flip-Flop,18,0.305,1.1735918e-07,1.7655e-08,6.935e-09,6.935e-09,1.7655e-08,1.789727e-08
OR,6,0.461,7.2711337e-07,2.4812e-08,2.538e-09,2.538e-09,2.4812e-08,1.6759963e-07
XOR,10,0.08,1.5029806e-07,9.729e-09,5.957e-09,5.957e-09,9.729e-09,6.01192e-09
Inverter,2,0.801,4.7305495e-07,1.1686e-08,8.992e-09,8.992e-09,1.1686e-08,1.8945851e-07
XNOR,10,0.251,3.6341199e-07,2.0135e-08,9.79e-10,9.79e-10,2.0135e-08,4.56082e-08
D Flip-Flop,18,0.728,5.549991e-07,1.4501e-08,3.628e-09,3.628e-09,1.4501e-08,2.0201967e-07
NAND,4,0.078,7.0941172e-07,1.028e-09,8.164e-09,8.164e-09,1.028e-09,2.766706e-08
AND,6,0.956,6.8787531e-07,2.1093e-08,7.831e-09,7.831e-09,2.1093e-08,3.288044e-07
NAND,4,0.201,5.2036472e-07,1.382e-09,2.003e-08,2.003e-08,1.382e-09,5.229665e-08
NOR,4,0.884,4.6969152e-07,4.353e-09,2.1097e-08,2.1097e-08,4.353e-09,2.0760365e-07
Inverter,2,0.811,4.0383744e-07,2.642e-09,4.916e-09,4.916e-09,2.642e-09,1.6375608e-07
NAND,4,0.968,8.6329085e-07,2.04e-09,3.186e-09,3.186e-09,2.04e-09,4.1783277e-07
OR,6,0.483,3.3754329e-07,7.4e-10,1.5891e-08,1.5891e-08,7.4e-10,8.15167e-08
NAND,4,0.73,2.6677216e-07,1.47e-09,2.0135e-08,2.0135e-08,1.47e-09,9.737184e-08
Mux,16,0.377,7.4588234e-07,1.1117e-08,2.4097e-08,2.4097e-08,1.1117e-08,1.4059882e-07
NOR,4,0.193,3.6616583e-07,6.396e-09,2.69e-10,2.69e-10,6.396e-09,3.5335e-08
XOR,10,0.449,8.4852861e-07,3.251e-09,1.0401e-08,1.0401e-08,3.251e-09,1.9049467e-07
AND,6,0.174,3.3460983e-07,1.6502e-08,1.8376e-08,1.8376e-08,1.6502e-08,2.911106e-08
NOR,4,0.982,7.0492538e-07,5.73e-09,2.0731e-08,2.0731e-08,5.73e-09,3.4611836e-07
Mux,16,0.105,5.465792e-08,5.72e-10,1.651e-09,1.651e-09,5.72e-10,2.86954e-09
Inverter,2,0.593,3.9170725e-07,1.0519e-08,1.7047e-08,1.7047e-08,1.0519e-08,1.161412e-07
OR,6,0.63,3.4979787e-07,7.83e-09,7.295e-09,7.295e-09,7.83e-09,1.1018633e-07
AND,6,0.543,8.1851195e-07,8.033e-09,1.957e-09,1.957e-09,8.033e-09,2.2222599e-07
AND,6,0.666,9.6738485e-07,1.1187e-08,1.2279e-08,1.2279e-08,1.1187e-08,3.2213916e-07
NOR,4,0.125,4.6627246e-07,1.6756e-08,4.038e-09,4.038e-09,1.6756e-08,2.914203e-08
Inverter,2,0.559,8.2658791e-07,1.545e-08,1.8451e-08,1.8451e-08,1.545e-08,2.3103132e-07
XNOR,10,0.294,7.0269775e-07,2.3438e-08,1.8557e-08,1.8557e-08,2.3438e-08,1.0329657e-07
Mux,16,0.941,9.6771213e-07,1.2991e-08,2.1067e-08,2.1067e-08,1.2991e-08,4.5530856e-07
XNOR,10,0.764,8.1299743e-07,1.1867e-08,9.501e-09,9.501e-09,1.1867e-08,3.1056502e-07
OR,6,0.973,8.670329e-08,5.414e-09,4.31e-10,4.31e-10,5.414e-09,4.218115e-08
Inverter,2,0.047,7.1614891e-07,1.8909e-08,6.567e-09,6.567e-09,1.8909e-08,1.68295e-08
Inverter,2,0.292,5.4014472e-07,3.605e-09,1.1749e-08,1.1749e-08,3.605e-09,7.886113e-08
Mux,16,0.203,2.62717e-08,1.2329e-08,1.7381e-08,1.7381e-08,1.2329e-08,2.66658e-09
D Flip-Flop,18,0.021,2.5879983e-07,1.0591e-08,9.613e-09,9.613e-09,1.0591e-08,2.7174e-09
XNOR,10,0.25,9.2253769e-07,1.6492e-08,1.3448e-08,1.3448e-08,1.6492e-08,1.1531721e-07
NAND,4,0.682,9.2680076e-07,2.2949e-08,1.3154e-08,1.3154e-08,2.2949e-08,3.1603906e-07
AND,6,0.239,8.0086196e-07,2.367e-08,4.208e-09,4.208e-09,2.367e-08,9.5703e-08
D Flip-Flop,18,0.514,9.8196181e-07,4.278e-09,1.5614e-08,1.5614e-08,4.278e-09,2.5236419e-07
NAND,4,0.889,8.0847977e-07,6.619e-09,1.1037e-08,1.1037e-08,6.619e-09,3.5936926e-07
Mux,16,0.697,2.010215e-08,2.031e-08,2.0217e-08,2.0217e-08,2.031e-08,7.0056e-09
AND,6,0.401,2.94956e-07,1.3005e-08,1.7296e-08,1.7296e-08,1.3005e-08,5.913868e-08
XOR,10,0.379,4.031794e-08,1.1381e-08,2.876e-09,2.876e-09,1.1381e-08,7.64025e-09
NAND,4,0.461,1.0316689e-07,1.7795e-08,1.227e-08,1.227e-08,1.7795e-08,2.377997e-08
D Flip-Flop,18,0.185,2.2665241e-07,1.5088e-08,1.7592e-08,1.7592e-08,1.5088e-08,2.096535e-08
NAND,4,0.638,5.0852296e-07,2.4271e-08,2.267e-09,2.267e-09,2.4271e-08,1.6221882e-07
NAND,4,0.371,8.4905668e-07,1.4641e-08,1.9833e-08,1.9833e-08,1.4641e-08,1.5750001e-07
Mux,16,0.854,8.6334709e-07,1.1703e-08,5.628e-09,5.628e-09,1.1703e-08,3.6864921e-07
XNOR,10,0.759,6.2003984e-07,1.3616e-08,1.2627e-08,1.2627e-08,1.3616e-08,2.3530512e-07
XOR,10,0.614,9.2889418e-07,2.0233e-08,2.352e-08,2.352e-08,2.0233e-08,2.8517051e-07
Mux,16,0.371,5.050617e-07,1.5356e-08,1.4326e-08,1.4326e-08,1.5356e-08,9.368895e-08
OR,6,0.218,8.9014568e-07,1.6211e-08,1.0659e-08,1.0659e-08,1.6211e-08,9.702588e-08
Mux,16,0.778,4.595246e-07,2.4289e-08,2.69e-10,2.69e-10,2.4289e-08,1.7875507e-07
AND,6,0.492,2.8445276e-07,1.5498e-08,3.422e-09,3.422e-09,1.5498e-08,6.997538e-08
XOR,10,0.233,9.1724879e-07,9.569e-09,1.4509e-08,1.4509e-08,9.569e-09,1.0685948e-07
Inverter,2,0.203,3.9405572e-07,1.7314e-08,1.2396e-08,1.2396e-08,1.7314e-08,3.999666e-08
OR,6,0.174,5.0837007e-07,1.6521e-08,9.159e-09,9.159e-09,1.6521e-08,4.42282e-08
NOR,4,0.779,3.3557203e-07,4.45e-10,2.3088e-08,2.3088e-08,4.45e-10,1.3070531e-07
Mux,16,0.237,6.6620922e-07,1.1736e-08,8.379e-09,8.379e-09,1.1736e-08,7.894579e-08
NAND,4,0.531,9.9508091e-07,1.8598e-08,1.3475e-08,1.3475e-08,1.8598e-08,2.6419398e-07
XNOR,10,0.457,3.525841e-08,1.2526e-08,1.4261e-08,1.4261e-08,1.2526e-08,8.05655e-09
Inverter,2,0.584,9.0084953e-07,1.9513e-08,1.3234e-08,1.3234e-08,1.9513e-08,2.6304806e-07
Mux,16,0.878,1.38868e-08,1.1327e-08,1.1992e-08,1.1992e-08,1.1327e-08,6.09631e-09
Mux,16,0.869,3.705856e-07,2.4585e-08,8.493e-09,8.493e-09,2.4585e-08,1.6101944e-07
D Flip-Flop,18,0.457,1.7692074e-07,7.393e-09,2.2728e-08,2.2728e-08,7.393e-09,4.042639e-08
D Flip-Flop,18,0.025,7.5976836e-07,2.394e-09,1.1325e-08,1.1325e-08,2.394e-09,9.4971e-09
Inverter,2,0.432,6.010473e-08,1.0807e-08,1.3258e-08,1.3258e-08,1.0807e-08,1.298262e-08
D Flip-Flop,18,0.61,5.579501e-07,1.3589e-08,1.6446e-08,1.6446e-08,1.3589e-08,1.7017478e-07
NAND,4,0.562,3.0197687e-07,8.792e-09,1.785e-09,1.785e-09,8.792e-09,8.48555e-08
OR,6,0.655,1.4233355e-07,6.133e-09,1.9554e-08,1.9554e-08,6.133e-09,4.661424e-08
NOR,4,0.163,7.7410003e-07,1.6834e-08,1.2861e-08,1.2861e-08,1.6834e-08,6.308915e-08
XOR,10,0.65,2.2524267e-07,9.49e-09,1.6464e-08,1.6464e-08,9.49e-09,7.320387e-08
NOR,4,0.191,2.3143846e-07,1.5821e-08,1.9323e-08,1.9323e-08,1.5821e-08,2.210237e-08
NOR,4,0.753,2.8232602e-07,1.9499e-08,2.1865e-08,2.1865e-08,1.9499e-08,1.0629575e-07
